"Date","Price","Open","High","Low","Vol.","Change %"
"02/04/2022","410.17","407.31","412.77","396.64","7.79M","1.13%"
"02/03/2022","405.60","421.44","429.26","404.28","9.91M","-5.56%"
"02/02/2022","429.48","448.25","451.98","426.48","14.35M","-6.05%"
"02/01/2022","457.13","432.96","458.48","425.54","22.57M","7.02%"
"01/31/2022","427.14","401.97","427.70","398.20","20.05M","11.13%"
"01/28/2022","384.36","386.76","387.00","372.08","11.97M","-0.61%"
"01/27/2022","386.70","382.06","394.80","378.10","24.32M","7.51%"
"01/26/2022","359.70","378.27","382.66","356.62","12.68M","-1.83%"
"01/25/2022","366.42","379.14","387.71","365.13","15.15M","-5.35%"
"01/24/2022","387.15","383.91","387.26","351.46","32.39M","-2.60%"
"01/21/2022","397.50","400.42","409.15","379.99","58.90M","-21.79%"
"01/20/2022","508.25","517.75","526.64","506.93","12.66M","-1.48%"
"01/19/2022","515.86","515.00","523.21","510.51","4.35M","0.99%"
"01/18/2022","510.80","520.08","521.75","508.68","4.84M","-2.83%"
"01/14/2022","525.69","517.60","538.37","511.88","7.86M","1.25%"
"01/13/2022","519.20","537.06","540.79","518.26","4.48M","-3.35%"
"01/12/2022","537.22","544.27","544.27","532.02","3.79M","-0.67%"
"01/11/2022","540.84","536.99","543.91","530.07","3.08M","0.18%"
"01/10/2022","539.85","538.49","543.69","526.32","4.49M","-0.22%"
"01/07/2022","541.06","549.46","553.43","538.22","3.38M","-2.21%"
"01/06/2022","553.29","554.34","563.36","542.01","5.71M","-2.51%"
"01/05/2022","567.52","592.00","592.84","566.88","4.15M","-4.00%"
"01/04/2022","591.15","599.91","600.41","581.60","4.39M","-1.04%"
"01/03/2022","597.37","605.61","609.99","590.56","3.07M","-0.84%"
"12/31/2021","602.44","610.01","614.08","602.05","2.00M","-1.58%"
"12/30/2021","612.09","612.99","620.61","611.24","1.63M","0.25%"
"12/29/2021","610.54","610.71","613.98","604.68","1.29M","-0.03%"
"12/28/2021","610.71","614.95","618.41","609.69","1.88M","-0.39%"
"12/27/2021","613.12","615.00","615.00","609.25","2.06M","-0.16%"
"12/23/2021","614.09","616.40","616.88","607.57","1.62M","-0.02%"
"12/22/2021","614.24","603.36","614.82","602.63","2.34M","1.54%"
